比赛,年,月,组别,城市,主办方,队伍数,冠军,亚军,季军,高水平,备注,Tournment,Year,Month,Division,City,Holder,NTeams,1st,2nd,3rd,High_Level,Note
广西公开赛,2022,11,混合,南宁,感知视界,24,RMB,禁飞区 山水名城,优范NALO麒麟,,,广西Open,2022,11,Mixed,NanNing,感知视界,24,RMB,禁飞区 山水名城,优范NALO麒麟,,
海南公开赛,2022,11,混合,海口,海南界磐,8,海口北极熊,海南界磐,南鸽,,,海南Open,2022,11,Mixed,HaiKou,海南界磐,8,海口北极熊,海南界磐,南鸽,,
常州城市邀请赛,2022,11,混合,常州,常州赤乌,5,南京枪花,,,,,常州城市Invite,2022,11,Mixed,ChangZhou,常州赤乌,5,NJ Gun'N Roses,,,,
战马杯,2022,11,混合,长沙,雏远体育,12,中南CSU,湖大Huda,,,,战马杯,2022,11,Mixed,ChangSha,雏远体育,12,中南CSU,湖大Huda,,,
青岛杯,2022,11,混合,青岛,心同步体育,8,深不见底,,,,,青岛杯,2022,11,Mixed,QingDao,心同步体育,8,深不见底,,,,
大中华锦标赛,2022,11,混合,上海,超光速,8,上海沪蛙,深圳禅,成都飞盘大,是,,GCUC,2022,11,Mixed,ShangHai,SMOC,8,SH Huwa,SZ Zen,CD Feipanda,Yes,
中国飞盘联赛,2022,11,混合,杭州,飞盘推广委员会,16,宁波甬士,杭州龙井虾仁,杭州好天气,,,China Ultimate League,2022,11,Mixed,HangZhou,飞盘推广委员会,16,NB 甬士,HZ 龙井虾仁,HZ 好天气,,
长沙交流赛,2022,11,混合,长沙,长沙体育产业,8,中南CSU,湖大Huda,,,,CS交流赛,2022,11,Mixed,ChangSha,长沙体育产业,8,中南CSU,湖大Huda,,,
成都公园城市杯,2022,11,混合,成都,成都体育局,11,成大Forange,成都飞盘大,成大Forange,,季军原名成大Orange,CD公园城市杯,2022,11,Mixed,Chengdu,成都体育局,11,成大Forange,CD Feipanda,成大Forange,,季军原名成大Orange
南京交流赛,2022,10,混合,南京,南京枪花,4,南京枪花,上海沪蛙B,南师凤凰,,季军原名盘瘾,NJ 交流赛,2022,10,Mixed,NanJing,南京枪花,4,NJ Gun'N Roses,SH Huwa B,南师Phoneix,,季军原名盘瘾
