Team,Division,Final Standing,in # teams,Competiton ,Level,Year,Month,Location
BJ Beijing,Open Club,1,12,SH Open,Others,2021,6,"Shanghai, China"
SH Chuchai,Open Club,2,12,SH Open,Others,2021,6,"Shanghai, China"
Beihaibei,Open Club,3,12,SH Open,Others,2021,6,"Shanghai, China"
SH Lumos maxima,Women Club,1,12,SH Open,Others,2021,6,"Shanghai, China"
BJ Jingniuer,Women Club,2,12,SH Open,Others,2021,6,"Shanghai, China"
SH Sirens,Women Club,3,12,SH Open,Others,2021,6,"Shanghai, China"
SH Chaiger King,Open Club,1,8,SH Open,Others,2020,6,"Shanghai, China"
SZ Men,Open Club,2,8,SH Open,Others,2020,6,"Shanghai, China"
BJ Laopaoer,Open Club,3,8,SH Open,Others,2020,6,"Shanghai, China"
Mega-Jing,Women Club,1,8,SH Open,Others,2020,6,"Shanghai, China"
SZ Haikeyi,Women Club,2,8,SH Open,Others,2020,6,"Shanghai, China"
Angling,Women Club,3,8,SH Open,Others,2020,6,"Shanghai, China"
China,Mixed Master,3,5,AODFD JMUC,Asian,2019,12,"Manila, Philippines"
SH Huwa,Mixed Club,9,26,Manila Spirits,Others,2019,11,"Manila, Philippines"
DL Lianbang,Mixed Club,3,10,Hainan Invite,Others,2019,11,"Haikou, China"
BJ Big Brother,Mixed Club,3,14,HKPAT,Others,2019,10,"Hong Kong, China"
GZ Storm,Mixed Club,6,14,HKPAT,Others,2019,10,"Hong Kong, China"
SZ Zen,Mixed Club,8,14,HKPAT,Others,2019,10,"Hong Kong, China"
SH Huwa,Mixed Club,9,14,HKPAT,Others,2019,10,"Hong Kong, China"
SZ Leao,Mixed Club,11,14,HKPAT,Others,2019,10,"Hong Kong, China"
SH Huwa,Mixed Club,3,8,World Leisure Games,Others,2019,8,"Qingdao, China"
China,Open National,7,7,AOUGC,Asian,2019,7,"Shanghai, China"
China,Mixed National,4,11,AOUGC,Asian,2019,7,"Shanghai, China"
China,Women National,7,7,AOUGC,Asian,2019,7,"Shanghai, China"
China,Open U24,17,18,WU24,World,2019,7,"Heidelburg, Germany"
China,Mixed U24,20,21,WU24,World,2019,7,"Heidelburg, Germany"
China,Mixed Beach ,11,23,AOBUC,Asian,2019,6,"Shirahama, Japan"
SH Puxi Patrol,Open Club,1,12,SH Open,Others,2019,6,"Shanghai, China"
BJ Laopaoer,Open Club,2,12,SH Open,Others,2019,6,"Shanghai, China"
China AOUGC Men,Open Club,3,12,SH Open,Others,2019,6,"Shanghai, China"
SH Sirens,Women Club,1,8,SH Open,Others,2019,6,"Shanghai, China"
China AOUGC Women,Women Club,3,8,SH Open,Others,2019,6,"Shanghai, China"
SH Huwa,Mixed Club,13,31,Manila Spirits,Others,2018,11,"Manila, Philippines"
SH Huwa,Mixed Club,1,15,HKPAT,Others,2018,10,"Hong Kong, China"
BJ Big Brother,Mixed Club,2,15,HKPAT,Others,2018,10,"Hong Kong, China"
SZ Zen,Mixed Club,11,15,HKPAT,Others,2018,10,"Hong Kong, China"
China,Boys U20,18,18,WJUC,World,2018,8,"Waterloo, Canada"
China,Girls U20,13,13,WJUC,World,2018,8,"Waterloo, Canada"
SH Chuchai,Open Club,26,40,WUCC,World,2018,7,"Cincinnati, USA"
SH Sirens,Women Club,39,40,WUCC,World,2018,7,"Cincinnati, USA"
SH Chuchai,Open Club,1,10,SH Open,Others,2018,6,"Shanghai, China"
SH Sirens,Women Club,1,14,SH Open,Others,2018,6,"Shanghai, China"
SH Chuchai,Open Club,1,,HK Hidden a Gender,Others,2018,4,"Hong Kong, China"
SH Sirens,Women Club,3,,HK Hidden a Gender,Others,2018,4,"Hong Kong, China"
China,Open U24,16,16,WU24,World,2018,1,"Perth, Australia"
China,Mixed U24,14,14,WU24,World,2018,1,"Perth, Australia"
SH Huwa,Mixed Club,8,40,Manila Spirits,Others,2017,11,"Manila, Philippines"
SH Huwa,Mixed Club,T1,12,HKPAT,Others,2017,10,"Hong Kong, China"
BJ Big Brother,Mixed Club,T3,12,HKPAT,Others,2017,10,"Hong Kong, China"
CUUP-X Open,Open Club,5,22,AOUGCC,Asian,2017,8,"Manila, Philippines"
CUUP-Y Open,Open Club,14,22,AOUGCC,Asian,2017,8,"Manila, Philippines"
CUUP Mixed,Mixed Club,15,28,AOUGCC,Asian,2017,8,"Manila, Philippines"
CUUP Women,Women Club,6,11,AOUGCC,Asian,2017,8,"Manila, Philippines"
SH Huwa,Mixed Club,1,24,SH Open,Others,2017,6,"Shanghai, China"
BJ Big Brother,Mixed Club,2,24,SH Open,Others,2017,6,"Shanghai, China"
Baijiaxing,Mixed Club,10,58,Manila Spirits,Others,2016,11,"Manila, Philippines"
DG PoD,Mixed Club,26,58,Manila Spirits,Others,2016,11,"Manila, Philippines"
BJ Bang,Mixed Club,32,58,Manila Spirits,Others,2016,11,"Manila, Philippines"
FJ Infinity,Mixed Club,47,58,Manila Spirits,Others,2016,11,"Manila, Philippines"
SH Sirens,Women Club,3,9,Asian Women's Invite,Others,2016,8,"Shanghai, China"
China,Open National,28,30,WUGC,World,2016,7,"London, Great Britain"
China,Mixed National,28,30,WUGC,World,2016,7,"London, Great Britain"
SH Huwa,Mixed Club,1,26,SH Open,Others,2016,6,"Shanghai, China"
Chairman Weird,Mixed Club,2,26,SH Open,Others,2016,6,"Shanghai, China"
Lingyuansu,Mixed Club,3,26,SH Open,Others,2016,6,"Shanghai, China"
